Type,ConditionLabel,Numeral,BaseFormOfTargetNoun,FinalSentence,AllAudioFiles,PathOfAaudioFiles,Group,OutputAudioFile
target1,A,два,месец,В паметта на човека изплуваха два изминали,STE-001_mono.wav,Targets/mono/STE-001_mono.wav,A,target1_A_месец_два_A
target1,APN,два,месец,В паметта на човека изплуваха два изминали преди време,STE-002_mono.wav,Targets/mono/STE-002_mono.wav,B,target1_APN_месец_два_B
target1,APAdvAN,два,месец,В паметта на човека изплуваха два изминали преди много дълго време,STE-003_mono.wav,Targets/mono/STE-003_mono.wav,C,target1_APAdvAN_месец_два_C
target1,A,три,кладенец,Като мираж в пустинята проблясваха три пълни,STE-004_mono.wav,Targets/mono/STE-004_mono.wav,C,target1_A_кладенец_три_C
target1,APN,три,кладенец,Като мираж в пустинята проблясваха три пълни с камъчета,STE-005_mono.wav,Targets/mono/STE-005_mono.wav,A,target1_APN_кладенец_три_A
target1,APAdvAN,три,кладенец,Като мираж в пустинята проблясваха три пълни с много бляскави камъчета,STE-006_mono.wav,Targets/mono/STE-006_mono.wav,B,target1_APAdvAN_кладенец_три_B
target1,A,два,град,В страната процъфтяваха два посещавани,STE-007_mono.wav,Targets/mono/STE-007_mono.wav,B,target1_A_град_два_B
target1,APN,два,град,В страната процъфтяваха два посещавани от туристката,STE-008_mono.wav,Targets/mono/STE-008_mono.wav,C,target1_APN_град_два_C
target1,APAdvAN,два,град,В страната процъфтяваха два посещавани от много заинтересoваната туристка,STE-009_mono.wav,Targets/mono/STE-009_mono.wav,A,target1_APAdvAN_град_два_A
target1,A,три,товар,Сутринта пристигнаха три превозeни,STE-010_mono.wav,Targets/mono/STE-010_mono.wav,A,target1_A_товар_три_A
target1,APN,три,товар,Сутринта пристигнаха три превозeни от колата,STE-011_mono.wav,Targets/mono/STE-011_mono.wav,B,target1_APN_товар_три_B
target1,APAdvAN,три,товар,Сутринта пристигнаха три превозeни от много голямата кола,STE-012_mono.wav,Targets/mono/STE-012_mono.wav,C,target1_APAdvAN_товар_три_C
